"month","poverty","child disability","family structure","What are the biggest challenges and concerns for you and your family right now?","What is helping you and your family the most right now?","What is on your mind the most when you think about your community re-opening?","What concerns do you have about your place of employment and/or your child’s child care setting re-opening?","Is there anything else you would like to tell us about you and your family’s experiences during the COVID-19 pandemic?","Now that the school year has started, we would like you to think about what resources would make things easier for you to support them. This could be technology, better internet access, more time, support etc.

If you have older children who are of school age, what are the resources that you wish you had (or need) in order to support your child’s education?","Many parents are also primarily responsible for their younger children’s early learning. If this is true of you, what additional resources would be helpful to make your child’s educational experience successful?

This could be toys, books, adult attention etc.","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how your family is doing or what you need during this time?","What would you like your employer or all employers to know about what families need during this next phase of the COVID-19 pandemic and recovery period?","Is there anything else you would like to share or add?","Are you concerned that events occurring in the US and in the world right now (e.g., extreme weather events, political tension, conflict, etc.) are affecting your child(ren)? If so, how?","Has your child(ren) said anything to you about the events that are ocurring in the US and in the world right now? If so, what are they saying?","As a parent, what are the highest priorities for you right now?","Are there supports or services that you currently rely on that help you be the kind of parent you most want to be? If so, please describe.","Are there additional supports or services that would help you to be the kind of parent you most want to be? If so, please describe.","As a parent, what are the long-term goals that you have for your child(ren) in areas such as school, friends, money, future career, or any other area?","Are there supports or services that you currently rely upon that are helpful in achieving your long-term goals for your child(ren)?","What sorts of additional supports or services would be most helpful to assist you in achieving your long-term goals for your children?","What are ways you know whether your child age 3 or under is doing really well or thriving?","As a parent, what are the highest priorities for your family right now?","Are there supports or services that you currently find most helpful for your family? If so, please describe.","Are there additional supports or services not currently available that would be helpful to your family? If so, please describe.","TIMER.B.OPEN.001_Click_Count","TIMER.B.OPEN.001_First_Click","TIMER.B.OPEN.001_Last_Click","TIMER.B.OPEN.001_Page_Submit","TIMER.OPEN.001_Click_Count","TIMER.OPEN.001_First_Click","TIMER.OPEN.001_Last_Click","TIMER.OPEN.001_Page_Submit","What are ways you know whether your child age 6 or under is doing really well or thriving?","OPEN.024","TIMER.B.OPEN.002_First_Click","TIMER.B.OPEN.002_Last_Click","TIMER.B.OPEN.002_Page_Submit","TIMER.B.OPEN.002_Click_Count","TIMER.B.OPEN.003_First_Click","TIMER.B.OPEN.003_Last_Click","TIMER.B.OPEN.003_Page_Submit","TIMER.B.OPEN.003_Click_Count","TIMER.B.OPEN.004_First_Click","TIMER.B.OPEN.004_Last_Click","TIMER.B.OPEN.004_Page_Submit","TIMER.B.OPEN.004_Click_Count"
"2020/06","200-400%FPL","With disability","Non-dual parent","Staying healthy and surviving confinement.","Family friends.","How yo keep myself and kids safe at work/school.","How can my child and I stay healthy?","The pressure of social distancing is extreme!","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Non-dual parent","Staying sane while in quarantine.","Seeing very few friends.","My family?s health and safety.","I worry about getting sick and not being able to care for my children. I worry about my children getting sick at school.","The emotional strain of our combined fear and isolation has been very hard.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Non-dual parent","We get stir crazy inside the house. We are also dealing with a significant trauma that happened about 10 months ago.","Talking to friends or therapists.","How to keep my childrrm and myselfsafe and healthy.","How to keep my childrrm and myselfsafe and healthy.","It has been VERY difficult!","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Non-dual parent","Being stuck at home with little or no interaction with friends and family.","Counseling g is helping us.","I worry about our health and welfare when we go back to school/work.","How to make it safe in the midst of an airborn pandemic.","No.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/08","200-400%FPL","With disability","Non-dual parent","I am trying to coordinate my children?s online school With a care giver while also going to work.","Friends and family","I am worried about myself or family getting sick.","I am concerned about whether these places are safe.","The isolation is very difficult.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/09","200-400%FPL","With disability","Non-dual parent","Working and home school ll at once.","Friends and faith.","Rising levels of sickness","How to stay well.","It?s very very difficult. This is the hardest it?s ever been.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/09","200-400%FPL","With disability","Non-dual parent","Trying to stay well and not get infected as society continues to open up again.","Faith and friends.","","","This is the hardest thing I have ever been through with my children.","private tutor or better place to work.","I have a lot of this but I lack time to help her use it.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Non-dual parent","I'm exhausted. It's hard to get out of bed everyday and go to work. I want to yell at my son all the time and it's not his fault.","Knowing that I don't have any choices.","Nooooo","I can't let him go back.","If the government can help pay for daycare why can't they help pay a friend or relative for watching our children?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11","Above 400%FPL","Without disability",NA,"Covid 19","Calling and checking on one another","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","Above 400%FPL","Without disability",NA,"Just making it through summer and seeing what next school year brings

","Savings",NA,NA,NA,NA,NA,"More resources need to be provided for people who have had Covid","That when an employee gets covid they should not use your paid time off. You didnt choose to get covid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Above 400%FPL","Without disability","Dual parents","keeping kids stimulated so they aren't bored and unruly","kids in summer camp","people not wearing masks, restaurants not enforcing masks and social distancing","having to take public transportation to get to work, several positive cases in my office building","zoom school sucks","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Above 400%FPL","Without disability","Dual parents","reading and math and writing","help from my mom; summer camp","people not wearing masks, people not keeping 6 feet away","the teachers getting sick","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12","Above 400%FPL","Without disability","Dual parents","getting kids motivated to do online school","coffee, wine","","","","","","kids need to go to school in person (especially Kindergarten to 3rd grade)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","Above 400%FPL","Without disability","Dual parents","children not getting enough exercise or ways to expel energy, then they get cranky and I get cranky","summer camp for the kids","people forgetting that COVID-19 hasn't gone away; people not wearing masks when out in public, even just walking down the street; people not staying 6ft away; people being selfish rather than thinking that this won't last forever and we all WIN by staying home as much as possible/wearing masks/socially distancing, etc.","I don't think my office should re-open anytime soon","people listening to debunked pseudo science regarding mask-wearing","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Below 200%FPL","Without disability","Non-dual parent","homeschooling","faith","positive tests rate going up","NA","We are learning to be more resourceful - growing our own vegetables; making foods from scratch - pasta, bread","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Below 200%FPL","Without disability","Non-dual parent","schooling","our faith","re-opening too soon and more people testing positive","employment - not many concerns. following mask mandate and social distancing","we learned that we take our freedom for granted","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/08","Below 200%FPL","Without disability","Non-dual parent","having enough money to buy groceries and pay utilit bills","","spreading the virus and a possible lock down","my place of employment is open, but not a full capacity","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/08","Below 200%FPL","Without disability","Non-dual parent","online schooling","faith, relatives","re-infection of Covid-19","NA","Too scared to send my 2 young ones to school for fear of them infecting myself or my elderly mother.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/09","Below 200%FPL","Without disability","Non-dual parent","Feeding kids, paying utilities, getting through virtual schooling","Talking with family members","Getting sick","NA","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11","Below 200%FPL","Without disability","Non-dual parent","food and utility expenses","family","","","","","","another stimulus check would help",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","Below 200%FPL","Without disability",NA,"Biggest concern is education","Family support",NA,NA,NA,NA,NA,"Support in all forms is needed","Support in all forms is necessary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Below 200%FPL","Without disability",NA,"The COVID vaccine mandate and exposures without being aware","Lots of family support",NA,NA,NA,NA,NA,"My family and I are doing well, but would appreciate support in medical freedom","Employees need support and lots of grace, especially when parents of younger children",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","Below 200%FPL","Without disability",NA,"PPP is running out so our hours and our salaries will be cut. I live in a state seeing a huge surge in the number of COVID cases and this is affecting plans to reopen school and day care. I am not going to be able to have more hours available to work and we aren't sure how long we'll be able to keep paying people their salaries.","Spending time together and being outdoors.","The surge in cases, not wanting to get sick, fear of our hospitals being over-crowded.","There's no realistic way child care centers or schools can re-open given the surge in cases right now.","It sucks. I'm depressed. I'm worried about my child's development. I don't see an end in sight.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Below 200%FPL","Without disability",NA,"How the return to school will be handled safely","Getting outside and getting exercise","Getting sick or losing someone I love from illness","Getting sick from COVID","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Below 200%FPL","Without disability",NA,"Now that the PPP program has ended my income has been halved and the temporary pandemic unemployment assistance has not yet been extended. Money is going to be tight.","Getting out doors and being active","Schools reopening and a spike in COVID cases","Seeing a resurgence of the disease and being locked down again","This is hard.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Below 200%FPL","Without disability",NA,"Salary has been halved and it doesn't seem like the Federal government will be able to reach an agreement on extending benefits for un/under employed people who are staying home with their kids and have limited hours to work.","Getting outside and being together away from technology, screens, news, etc.","Another increase in cases/deaths. We've already seen a huge spike.","Getting ill from COVID","The political climate is making all the stress of everything much worse.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/08","Below 200%FPL","Without disability",NA,"Lack of certainty about expanded unemployment assistance for families staying home because child care options are not available and schools remain closed.","Being together outside, camping, getting exercise, sticking to a schedule.","A spike in the number of cases again, increased transmission.","Increased community transmission.","Online Kindergarten is not helpful.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/10","Below 200%FPL","Without disability",NA,"Wondering when school will re-open and if it will be safe to go.","Getting outside and being together.","","","","Better education options for remote learning","Kinder curriculum and activity resources to supplement remote instructions","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","200-400%FPL",NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","200-400%FPL","With disability","Dual parents","want playdates without worry.
Want to see family without worry of getting people sick.","seeing some family","happy","happy. Wondering how are they going to keep things clean","Not really","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","200-400%FPL","With disability","Dual parents","Preschool age","family time. Visiting time","fearful people not wearing masks and infecting people","will the child have to wear a masks and how are they keeping the children seperate","can't wait for the vaccine to come out","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Dual parents","I think my child might be depressed","tv, screen time, family visits","safety, everyone following the rules","not going","not doing preschool this year due to fear for my child safety","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Dual parents","not learning the rate she is supposed too","seeing family","I will stay homei think we need the vaccine before we open","","no","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","200-400%FPL","With disability","Dual parents","teaching mt child the basic preschool stuff","dollar tree stuff","wearing mask and keeping people safe","Don't know if I want them to open","no","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/08","200-400%FPL","With disability","Dual parents","now I am teaching preschool info plus
Family drama","Talking and praying","happy","hurry up
Safe procedures","nothing really","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/12","200-400%FPL","With disability","Dual parents","Waiting till she's 5 and going to get her shot. Every cold we get her tested for covid. The fear is real.","Our new neighbours they come out and play a lot",NA,NA,NA,NA,NA,"Nothing- not sure","We need time off if our kid is sick with covid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","200-400%FPL","With disability","Dual parents","The vaccine for kids","Family and friends",NA,NA,NA,NA,NA,"Doing good","Therapy provided for free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08","200-400%FPL","With disability","Dual parents","Getting my girl her vaccine. Don't want her to get sick again.","Staying social",NA,NA,NA,NA,NA,"Need fda approval for our kids to get the shots","Nothing i can think of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","200-400%FPL","With disability","Dual parents","getting covid vaccine before she goes to preschool","seeing family
having a bubble of people to see",NA,NA,NA,NA,NA,"more access to covid19 vaccine availability for auto immune patients","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","200-400%FPL","With disability","Dual parents","Vaccinations for our kids","Moms club and things getting back to normal",NA,NA,NA,NA,NA,"We are doing good. Just want the news and CDC be on the same page.","N/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07","Below 200%FPL","With disability","Dual parents","Finances and the kids miss their friends","Faith","Hate the mask","Na","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","Below 200%FPL","With disability","Dual parents","Financial","Faith","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/08","Below 200%FPL","With disability","Dual parents","Moving to another state","Prayer","About time","N/A","no","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","200-400%FPL","Without disability","Dual parents","Keeping my children occupied","Getting outside","Fear of a second wave of infections","I?m concerned about a second wave of infections and what the precautions will be","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
